path,accent,number,crema-d predictions,ravdess predictions,tess predictions,combined predictions
macedonian11.mp3,macedonian,11,SAD,DIS,DIS,ANG
polish19.mp3,polish,19,SAD,DIS,DIS,HAP
spanish92.mp3,spanish,92,SAD,DIS,DIS,DIS
english207.mp3,english,207,SAD,DIS,DIS,DIS
dutch37.mp3,dutch,37,SAD,DIS,DIS,ANG
english204.mp3,english,204,FEA,DIS,DIS,ANG
italian29.mp3,italian,29,FEA,DIS,DIS,ANG
english437.mp3,english,437,SAD,DIS,DIS,ANG
english276.mp3,english,276,SAD,DIS,DIS,ANG
malayalam2.mp3,malayalam,2,FEA,DIS,DIS,ANG
mandarin33.mp3,mandarin,33,SAD,DIS,DIS,ANG
french57.mp3,french,57,SAD,DIS,DIS,DIS
azerbaijani3.mp3,azerbaijani,3,SAD,DIS,DIS,ANG
english334.mp3,english,334,FEA,DIS,DIS,ANG
satawalese2.mp3,satawalese,2,FEA,DIS,DIS,DIS
bengali9.mp3,bengali,9,SAD,DIS,DIS,DIS
portuguese38.mp3,portuguese,38,FEA,DIS,DIS,DIS
mandarin34.mp3,mandarin,34,DIS,DIS,DIS,ANG
bulgarian8.mp3,bulgarian,8,SAD,DIS,DIS,ANG
english208.mp3,english,208,SAD,DIS,DIS,DIS
french37.mp3,french,37,SAD,DIS,DIS,DIS
romanian3.mp3,romanian,3,FEA,DIS,DIS,ANG
finnish8.mp3,finnish,8,SAD,DIS,DIS,ANG
english146.mp3,english,146,SAD,DIS,DIS,DIS
english467.mp3,english,467,SAD,DIS,DIS,DIS
romanian11.mp3,romanian,11,FEA,FEA,DIS,ANG
english188.mp3,english,188,FEA,DIS,DIS,ANG
arabic88.mp3,arabic,88,SAD,DIS,DIS,ANG
english115.mp3,english,115,SAD,DIS,DIS,ANG
spanish100.mp3,spanish,100,SAD,DIS,DIS,DIS
ashanti1.mp3,ashanti,1,FEA,DIS,DIS,DIS
english515.mp3,english,515,FEA,DIS,DIS,DIS
tibetan1.mp3,tibetan,1,FEA,DIS,DIS,ANG
spanish40.mp3,spanish,40,SAD,DIS,DIS,DIS
english566.mp3,english,566,SAD,DIS,DIS,ANG
arabic44.mp3,arabic,44,SAD,DIS,DIS,ANG
polish7.mp3,polish,7,FEA,DIS,DIS,DIS
tajiki3.mp3,tajiki,3,SAD,DIS,DIS,ANG
spanish46.mp3,spanish,46,FEA,DIS,DIS,ANG
portuguese31.mp3,portuguese,31,FEA,DIS,DIS,DIS
english82.mp3,english,82,SAD,DIS,DIS,ANG
spanish125.mp3,spanish,125,FEA,DIS,DIS,ANG
spanish19.mp3,spanish,19,SAD,DIS,DIS,DIS
wolof5.mp3,wolof,5,SAD,DIS,DIS,ANG
kurdish5.mp3,kurdish,5,FEA,DIS,DIS,ANG
english444.mp3,english,444,FEA,ANG,DIS,ANG
english385.mp3,english,385,SAD,DIS,DIS,ANG
serbian2.mp3,serbian,2,FEA,DIS,DIS,DIS
spanish76.mp3,spanish,76,SAD,DIS,DIS,ANG
igbo1.mp3,igbo,1,SAD,DIS,DIS,ANG
polish8.mp3,polish,8,SAD,DIS,DIS,ANG
punjabi8.mp3,punjabi,8,SAD,DIS,DIS,ANG
german31.mp3,german,31,SAD,DIS,DIS,ANG
slovenian2.mp3,slovenian,2,FEA,DIS,DIS,ANG
lamotrekese1.mp3,lamotrekese,1,SAD,DIS,DIS,DIS
english463.mp3,english,463,SAD,DIS,DIS,DIS
english70.mp3,english,70,SAD,DIS,DIS,ANG
norwegian5.mp3,norwegian,5,SAD,DIS,DIS,ANG
amharic7.mp3,amharic,7,SAD,DIS,DIS,DIS
polish17.mp3,polish,17,FEA,DIS,DIS,ANG
twi5.mp3,twi,5,SAD,DIS,DIS,ANG
english46.mp3,english,46,SAD,DIS,DIS,ANG
ukrainian5.mp3,ukrainian,5,FEA,DIS,DIS,DIS
kurdish9.mp3,kurdish,9,FEA,DIS,DIS,DIS
english426.mp3,english,426,FEA,DIS,DIS,ANG
hausa5.mp3,hausa,5,FEA,DIS,DIS,ANG
mandarin49.mp3,mandarin,49,FEA,DIS,DIS,ANG
ukrainian4.mp3,ukrainian,4,SAD,DIS,DIS,ANG
tibetan3.mp3,tibetan,3,SAD,DIS,DIS,ANG
english468.mp3,english,468,FEA,DIS,DIS,ANG
french29.mp3,french,29,FEA,DIS,DIS,DIS
bengali2.mp3,bengali,2,SAD,DIS,DIS,ANG
xiang1.mp3,xiang,1,FEA,DIS,DIS,ANG
amharic4.mp3,amharic,4,SAD,DIS,DIS,ANG
english556.mp3,english,556,SAD,DIS,DIS,DIS
spanish87.mp3,spanish,87,FEA,DIS,DIS,ANG
english163.mp3,english,163,SAD,DIS,DIS,DIS
japanese11.mp3,japanese,11,SAD,DIS,DIS,ANG
miskito9.mp3,miskito,9,FEA,DIS,DIS,DIS
korean5.mp3,korean,5,SAD,DIS,DIS,ANG
norwegian2.mp3,norwegian,2,SAD,DIS,DIS,ANG
english452.mp3,english,452,FEA,DIS,DIS,DIS
gujarati5.mp3,gujarati,5,SAD,DIS,DIS,ANG
hindi15.mp3,hindi,15,SAD,DIS,DIS,ANG
arabic71.mp3,arabic,71,SAD,DIS,DIS,ANG
xiang2.mp3,xiang,2,SAD,DIS,DIS,DIS
afrikaans4.mp3,afrikaans,4,FEA,DIS,DIS,ANG
dutch27.mp3,dutch,27,SAD,DIS,DIS,DIS
japanese27.mp3,japanese,27,SAD,DIS,DIS,HAP
miskito2.mp3,miskito,2,SAD,DIS,DIS,DIS
japanese1.mp3,japanese,1,FEA,DIS,DIS,ANG
turkish17.mp3,turkish,17,FEA,DIS,DIS,ANG
hebrew9.mp3,hebrew,9,FEA,DIS,DIS,ANG
spanish109.mp3,spanish,109,FEA,DIS,DIS,DIS
french50.mp3,french,50,SAD,DIS,DIS,DIS
spanish154.mp3,spanish,154,DIS,DIS,DIS,ANG
english18.mp3,english,18,SAD,DIS,DIS,DIS
english137.mp3,english,137,SAD,DIS,DIS,DIS
english250.mp3,english,250,SAD,DIS,DIS,DIS
english448.mp3,english,448,FEA,DIS,DIS,ANG
albanian3.mp3,albanian,3,SAD,DIS,DIS,ANG
english45.mp3,english,45,SAD,DIS,DIS,ANG
hausa2.mp3,hausa,2,FEA,DIS,DIS,ANG
arabic63.mp3,arabic,63,FEA,DIS,DIS,ANG
english323.mp3,english,323,FEA,DIS,DIS,ANG
french27.mp3,french,27,FEA,DIS,DIS,ANG
english291.mp3,english,291,SAD,DIS,DIS,HAP
lithuanian4.mp3,lithuanian,4,SAD,DIS,DIS,ANG
italian13.mp3,italian,13,SAD,DIS,DIS,ANG
spanish121.mp3,spanish,121,FEA,DIS,DIS,ANG
finnish1.mp3,finnish,1,SAD,DIS,DIS,HAP
serbian1.mp3,serbian,1,FEA,DIS,DIS,DIS
english199.mp3,english,199,FEA,DIS,DIS,DIS
english194.mp3,english,194,FEA,DIS,DIS,ANG
polish9.mp3,polish,9,SAD,DIS,DIS,ANG
english85.mp3,english,85,SAD,DIS,DIS,DIS
mandarin52.mp3,mandarin,52,FEA,DIS,DIS,DIS
english377.mp3,english,377,SAD,DIS,DIS,ANG
english392.mp3,english,392,FEA,DIS,DIS,ANG
english483.mp3,english,483,SAD,DIS,DIS,DIS
english386.mp3,english,386,SAD,DIS,DIS,ANG
tagalog13.mp3,tagalog,13,FEA,DIS,DIS,ANG
mandarin13.mp3,mandarin,13,SAD,DIS,DIS,DIS
arabic55.mp3,arabic,55,SAD,DIS,DIS,DIS
arabic64.mp3,arabic,64,FEA,DIS,DIS,DIS
polish24.mp3,polish,24,SAD,DIS,DIS,DIS
english2.mp3,english,2,FEA,DIS,DIS,ANG
english300.mp3,english,300,SAD,DIS,DIS,DIS
english317.mp3,english,317,FEA,DIS,DIS,HAP
english540.mp3,english,540,FEA,DIS,DIS,ANG
english312.mp3,english,312,SAD,DIS,DIS,DIS
urdu1.mp3,urdu,1,SAD,DIS,DIS,ANG
english442.mp3,english,442,SAD,DIS,DIS,ANG
spanish148.mp3,spanish,148,SAD,DIS,DIS,DIS
miskito11.mp3,miskito,11,FEA,DIS,DIS,DIS
arabic74.mp3,arabic,74,SAD,DIS,DIS,ANG
english436.mp3,english,436,SAD,DIS,DIS,ANG
english355.mp3,english,355,SAD,DIS,DIS,DIS
arabic26.mp3,arabic,26,SAD,DIS,DIS,ANG
dutch31.mp3,dutch,31,FEA,DIS,DIS,DIS
mandarin32.mp3,mandarin,32,SAD,DIS,DIS,ANG
italian7.mp3,italian,7,FEA,DIS,DIS,ANG
akan1.mp3,akan,1,FEA,DIS,DIS,ANG
spanish144.mp3,spanish,144,FEA,DIS,DIS,ANG
english345.mp3,english,345,SAD,DIS,DIS,HAP
english260.mp3,english,260,FEA,DIS,DIS,ANG
macedonian3.mp3,macedonian,3,FEA,DIS,DIS,ANG
mandarin36.mp3,mandarin,36,SAD,DIS,DIS,ANG
spanish41.mp3,spanish,41,SAD,FEA,DIS,DIS
english422.mp3,english,422,SAD,DIS,DIS,DIS
german16.mp3,german,16,SAD,DIS,DIS,ANG
yoruba1.mp3,yoruba,1,FEA,DIS,DIS,ANG
polish16.mp3,polish,16,SAD,DIS,DIS,HAP
vietnamese1.mp3,vietnamese,1,FEA,DIS,DIS,ANG
spanish135.mp3,spanish,135,SAD,DIS,DIS,DIS
farsi23.mp3,farsi,23,FEA,DIS,DIS,DIS
english290.mp3,english,290,FEA,DIS,DIS,DIS
english125.mp3,english,125,SAD,DIS,DIS,ANG
mandarin9.mp3,mandarin,9,FEA,FEA,DIS,ANG
macedonian26.mp3,macedonian,26,SAD,DIS,DIS,ANG
amharic2.mp3,amharic,2,FEA,DIS,DIS,ANG
english139.mp3,english,139,FEA,DIS,DIS,DIS
english366.mp3,english,366,FEA,DIS,DIS,ANG
serbian16.mp3,serbian,16,SAD,DIS,DIS,DIS
frisian1.mp3,frisian,1,SAD,DIS,DIS,ANG
russian7.mp3,russian,7,SAD,DIS,DIS,DIS
english398.mp3,english,398,SAD,DIS,DIS,ANG
farsi2.mp3,farsi,2,FEA,DIS,DIS,ANG
german8.mp3,german,8,FEA,DIS,DIS,HAP
arabic73.mp3,arabic,73,SAD,DIS,DIS,DIS
arabic92.mp3,arabic,92,FEA,DIS,DIS,ANG
polish22.mp3,polish,22,SAD,DIS,DIS,ANG
english428.mp3,english,428,SAD,DIS,DIS,ANG
lingala1.mp3,lingala,1,FEA,DIS,DIS,ANG
polish3.mp3,polish,3,SAD,DIS,DIS,DIS
afrikaans5.mp3,afrikaans,5,SAD,DIS,DIS,DIS
korean41.mp3,korean,41,SAD,DIS,DIS,ANG
spanish68.mp3,spanish,68,FEA,DIS,DIS,ANG
english7.mp3,english,7,FEA,DIS,DIS,ANG
french19.mp3,french,19,FEA,DIS,DIS,ANG
hmong1.mp3,hmong,1,FEA,DIS,DIS,DIS
spanish96.mp3,spanish,96,SAD,DIS,DIS,ANG
cebuano1.mp3,cebuano,1,SAD,DIS,DIS,ANG
rundi1.mp3,rundi,1,FEA,DIS,DIS,DIS
portuguese46.mp3,portuguese,46,SAD,DIS,DIS,DIS
mandarin10.mp3,mandarin,10,SAD,DIS,DIS,DIS
serbian11.mp3,serbian,11,FEA,DIS,DIS,DIS
german35.mp3,german,35,FEA,DIS,DIS,ANG
english315.mp3,english,315,SAD,DIS,DIS,ANG
italian2.mp3,italian,2,SAD,DIS,DIS,ANG
english175.mp3,english,175,SAD,DIS,DIS,DIS
german10.mp3,german,10,FEA,DIS,DIS,ANG
portuguese23.mp3,portuguese,23,SAD,DIS,DIS,ANG
english227.mp3,english,227,SAD,DIS,DIS,ANG
english462.mp3,english,462,SAD,DIS,DIS,ANG
cantonese10.mp3,cantonese,10,FEA,DIS,DIS,ANG
korean12.mp3,korean,12,SAD,DIS,DIS,DIS
hakka1.mp3,hakka,1,FEA,DIS,DIS,ANG
english43.mp3,english,43,FEA,DIS,DIS,DIS
yoruba3.mp3,yoruba,3,FEA,DIS,DIS,ANG
cantonese21.mp3,cantonese,21,SAD,DIS,DIS,ANG
spanish33.mp3,spanish,33,SAD,DIS,DIS,DIS
english97.mp3,english,97,SAD,DIS,DIS,ANG
nama1.mp3,nama,1,FEA,DIS,DIS,ANG
serbian13.mp3,serbian,13,SAD,DIS,DIS,ANG
spanish12.mp3,spanish,12,FEA,DIS,DIS,HAP
mandarin60.mp3,mandarin,60,SAD,DIS,DIS,DIS
arabic23.mp3,arabic,23,SAD,DIS,DIS,ANG
japanese25.mp3,japanese,25,FEA,DIS,DIS,ANG
turkish19.mp3,turkish,19,SAD,DIS,DIS,ANG
french55.mp3,french,55,SAD,DIS,DIS,ANG
dutch39.mp3,dutch,39,SAD,DIS,DIS,ANG
english514.mp3,english,514,SAD,DIS,DIS,ANG
cantonese7.mp3,cantonese,7,SAD,DIS,DIS,DIS
italian26.mp3,italian,26,SAD,DIS,DIS,DIS
english507.mp3,english,507,SAD,DIS,DIS,DIS
urdu14.mp3,urdu,14,FEA,DIS,DIS,ANG
turkish27.mp3,turkish,27,FEA,DIS,DIS,HAP
hindi11.mp3,hindi,11,SAD,DIS,DIS,ANG
cantonese13.mp3,cantonese,13,SAD,DIS,DIS,DIS
estonian4.mp3,estonian,4,SAD,DIS,DIS,DIS
french56.mp3,french,56,SAD,DIS,DIS,ANG
english221.mp3,english,221,SAD,DIS,DIS,ANG
english127.mp3,english,127,SAD,DIS,DIS,DIS
french53.mp3,french,53,DIS,DIS,DIS,DIS
temne1.mp3,temne,1,FEA,DIS,DIS,ANG
urdu3.mp3,urdu,3,FEA,DIS,DIS,ANG
quechua2.mp3,quechua,2,SAD,DIS,DIS,ANG
spanish98.mp3,spanish,98,SAD,DIS,DIS,ANG
dutch19.mp3,dutch,19,SAD,DIS,DIS,ANG
spanish21.mp3,spanish,21,SAD,DIS,DIS,ANG
arabic79.mp3,arabic,79,DIS,DIS,DIS,ANG
english203.mp3,english,203,FEA,DIS,DIS,ANG
french26.mp3,french,26,SAD,DIS,DIS,ANG
somali3.mp3,somali,3,SAD,DIS,DIS,ANG
korean40.mp3,korean,40,SAD,DIS,DIS,ANG
portuguese8.mp3,portuguese,8,SAD,DIS,DIS,ANG
spanish82.mp3,spanish,82,SAD,DIS,DIS,ANG
amharic19.mp3,amharic,19,SAD,DIS,DIS,DIS
bamun1.mp3,bamun,1,SAD,DIS,DIS,ANG
vietnamese7.mp3,vietnamese,7,SAD,DIS,DIS,ANG
english516.mp3,english,516,SAD,DIS,DIS,ANG
naxi1.mp3,naxi,1,SAD,DIS,DIS,DIS
english178.mp3,english,178,SAD,DIS,DIS,ANG
bengali13.mp3,bengali,13,FEA,DIS,DIS,DIS
english47.mp3,english,47,FEA,DIS,DIS,ANG
telugu1.mp3,telugu,1,FEA,DIS,DIS,DIS
bavarian2.mp3,bavarian,2,SAD,DIS,DIS,ANG
portuguese10.mp3,portuguese,10,FEA,DIS,DIS,DIS
english109.mp3,english,109,SAD,DIS,DIS,ANG
english284.mp3,english,284,SAD,DIS,DIS,DIS
tagalog4.mp3,tagalog,4,SAD,DIS,DIS,ANG
english51.mp3,english,51,SAD,DIS,DIS,ANG
spanish8.mp3,spanish,8,SAD,DIS,DIS,ANG
tswana1.mp3,tswana,1,FEA,DIS,DIS,ANG
english547.mp3,english,547,SAD,DIS,DIS,ANG
mongolian7.mp3,mongolian,7,FEA,DIS,DIS,DIS
cantonese12.mp3,cantonese,12,SAD,DIS,DIS,ANG
vietnamese9.mp3,vietnamese,9,FEA,DIS,DIS,ANG
english17.mp3,english,17,SAD,DIS,DIS,HAP
faroese1.mp3,faroese,1,SAD,DIS,DIS,DIS
german7.mp3,german,7,SAD,DIS,DIS,DIS
basque2.mp3,basque,2,SAD,DIS,DIS,DIS
english133.mp3,english,133,FEA,DIS,DIS,ANG
portuguese5.mp3,portuguese,5,FEA,DIS,DIS,DIS
portuguese27.mp3,portuguese,27,SAD,DIS,DIS,DIS
basque1.mp3,basque,1,SAD,DIS,DIS,DIS
english60.mp3,english,60,SAD,DIS,DIS,ANG
english38.mp3,english,38,FEA,DIS,DIS,DIS
english509.mp3,english,509,SAD,DIS,DIS,DIS
thai1.mp3,thai,1,SAD,DIS,DIS,ANG
french59.mp3,french,59,FEA,DIS,DIS,DIS
krio6.mp3,krio,6,SAD,DIS,DIS,DIS
norwegian1.mp3,norwegian,1,FEA,DIS,DIS,ANG
portuguese34.mp3,portuguese,34,SAD,DIS,DIS,ANG
mongolian5.mp3,mongolian,5,FEA,FEA,DIS,ANG
hebrew6.mp3,hebrew,6,SAD,DIS,DIS,HAP
english451.mp3,english,451,SAD,DIS,DIS,DIS
thai14.mp3,thai,14,FEA,DIS,DIS,ANG
hungarian9.mp3,hungarian,9,SAD,DIS,DIS,ANG
english152.mp3,english,152,SAD,DIS,DIS,ANG
ganda1.mp3,ganda,1,FEA,DIS,DIS,ANG
spanish62.mp3,spanish,62,SAD,DIS,DIS,ANG
spanish11.mp3,spanish,11,FEA,DIS,DIS,ANG
english228.mp3,english,228,FEA,FEA,DIS,ANG
armenian8.mp3,armenian,8,SAD,DIS,DIS,DIS
japanese7.mp3,japanese,7,SAD,DIS,DIS,DIS
fanti3.mp3,fanti,3,SAD,DIS,DIS,DIS
romanian5.mp3,romanian,5,SAD,DIS,DIS,ANG
bengali14.mp3,bengali,14,FEA,DIS,DIS,ANG
urdu12.mp3,urdu,12,SAD,DIS,DIS,ANG
russian14.mp3,russian,14,SAD,DIS,DIS,DIS
cantonese1.mp3,cantonese,1,FEA,DIS,DIS,ANG
english172.mp3,english,172,SAD,DIS,DIS,ANG
english296.mp3,english,296,SAD,DIS,DIS,DIS
khmer7.mp3,khmer,7,FEA,DIS,DIS,DIS
spanish160.mp3,spanish,160,DIS,DIS,DIS,ANG
danish5.mp3,danish,5,SAD,DIS,DIS,ANG
english402.mp3,english,402,SAD,DIS,DIS,ANG
english264.mp3,english,264,SAD,DIS,DIS,DIS
japanese24.mp3,japanese,24,SAD,DIS,DIS,DIS
russian39.mp3,russian,39,SAD,DIS,DIS,ANG
french39.mp3,french,39,FEA,DIS,DIS,ANG
english98.mp3,english,98,FEA,DIS,DIS,DIS
english524.mp3,english,524,SAD,DIS,DIS,DIS
serbian4.mp3,serbian,4,SAD,DIS,DIS,DIS
french1.mp3,french,1,FEA,DIS,DIS,ANG
turkish15.mp3,turkish,15,SAD,DIS,DIS,FEA
swedish1.mp3,swedish,1,FEA,DIS,DIS,ANG
kiswahili1.mp3,kiswahili,1,SAD,DIS,DIS,HAP
mandarin47.mp3,mandarin,47,SAD,DIS,DIS,ANG
ga3.mp3,ga,3,SAD,DIS,DIS,ANG
farsi1.mp3,farsi,1,FEA,DIS,DIS,ANG
korean17.mp3,korean,17,SAD,DIS,DIS,DIS
english304.mp3,english,304,SAD,DIS,DIS,DIS
bengali16.mp3,bengali,16,FEA,DIS,DIS,ANG
english324.mp3,english,324,FEA,DIS,DIS,DIS
russian25.mp3,russian,25,SAD,DIS,DIS,DIS
polish25.mp3,polish,25,FEA,DIS,DIS,ANG
baga1.mp3,baga,1,SAD,DIS,DIS,ANG
finnish6.mp3,finnish,6,FEA,DIS,DIS,HAP
lao2.mp3,lao,2,FEA,DIS,DIS,ANG
finnish7.mp3,finnish,7,SAD,DIS,DIS,ANG
polish27.mp3,polish,27,SAD,DIS,DIS,HAP
english538.mp3,english,538,SAD,DIS,DIS,ANG
english214.mp3,english,214,FEA,DIS,DIS,ANG
english245.mp3,english,245,SAD,DIS,DIS,DIS
portuguese45.mp3,portuguese,45,HAP,DIS,DIS,DIS
spanish143.mp3,spanish,143,FEA,DIS,DIS,DIS
english522.mp3,english,522,SAD,DIS,DIS,ANG
english34.mp3,english,34,SAD,DIS,DIS,ANG
yupik1.mp3,yupik,1,SAD,DIS,DIS,ANG
malayalam3.mp3,malayalam,3,SAD,DIS,DIS,ANG
finnish5.mp3,finnish,5,SAD,DIS,DIS,ANG
turkish6.mp3,turkish,6,FEA,DIS,DIS,ANG
korean39.mp3,korean,39,FEA,DIS,DIS,ANG
twi6.mp3,twi,6,DIS,FEA,DIS,ANG
spanish142.mp3,spanish,142,SAD,DIS,DIS,DIS
english113.mp3,english,113,SAD,DIS,DIS,ANG
swedish12.mp3,swedish,12,FEA,DIS,DIS,ANG
french28.mp3,french,28,FEA,FEA,DIS,ANG
turkish18.mp3,turkish,18,SAD,DIS,DIS,ANG
english237.mp3,english,237,FEA,DIS,DIS,ANG
greek3.mp3,greek,3,FEA,DIS,DIS,ANG
ukrainian8.mp3,ukrainian,8,FEA,DIS,DIS,ANG
english23.mp3,english,23,SAD,DIS,DIS,DIS
english303.mp3,english,303,SAD,DIS,DIS,DIS
arabic86.mp3,arabic,86,FEA,DIS,DIS,ANG
arabic87.mp3,arabic,87,FEA,DIS,DIS,ANG
garifuna1.mp3,garifuna,1,FEA,DIS,DIS,ANG
hungarian4.mp3,hungarian,4,SAD,DIS,DIS,ANG
armenian4.mp3,armenian,4,SAD,DIS,DIS,ANG
arabic78.mp3,arabic,78,FEA,DIS,DIS,ANG
norwegian4.mp3,norwegian,4,FEA,DIS,DIS,DIS
czech3.mp3,czech,3,FEA,DIS,DIS,ANG
english495.mp3,english,495,SAD,DIS,DIS,DIS
english190.mp3,english,190,SAD,DIS,DIS,DIS
english339.mp3,english,339,SAD,DIS,DIS,DIS
croatian3.mp3,croatian,3,SAD,DIS,DIS,ANG
english416.mp3,english,416,SAD,DIS,DIS,ANG
arabic43.mp3,arabic,43,SAD,DIS,DIS,ANG
albanian5.mp3,albanian,5,FEA,DIS,DIS,ANG
french13.mp3,french,13,FEA,DIS,DIS,DIS
english213.mp3,english,213,SAD,FEA,DIS,ANG
japanese20.mp3,japanese,20,FEA,DIS,DIS,ANG
hungarian3.mp3,hungarian,3,FEA,DIS,DIS,ANG
german36.mp3,german,36,SAD,DIS,DIS,ANG
rotuman2.mp3,rotuman,2,SAD,DIS,DIS,ANG
vietnamese3.mp3,vietnamese,3,SAD,DIS,DIS,DIS
english508.mp3,english,508,SAD,DIS,DIS,DIS
arabic42.mp3,arabic,42,FEA,DIS,DIS,ANG
spanish57.mp3,spanish,57,SAD,DIS,DIS,ANG
korean31.mp3,korean,31,FEA,DIS,DIS,DIS
english75.mp3,english,75,SAD,DIS,DIS,ANG
dutch32.mp3,dutch,32,SAD,DIS,DIS,DIS
english499.mp3,english,499,SAD,DIS,DIS,ANG
quechua1.mp3,quechua,1,SAD,DIS,DIS,DIS
english196.mp3,english,196,FEA,FEA,DIS,ANG
greek7.mp3,greek,7,SAD,DIS,DIS,ANG
english198.mp3,english,198,FEA,DIS,DIS,ANG
portuguese26.mp3,portuguese,26,SAD,DIS,DIS,ANG
bulgarian17.mp3,bulgarian,17,SAD,DIS,DIS,DIS
tigrigna6.mp3,tigrigna,6,SAD,DIS,DIS,ANG
pohnpeian1.mp3,pohnpeian,1,FEA,DIS,DIS,DIS
albanian1.mp3,albanian,1,FEA,DIS,DIS,DIS
vietnamese10.mp3,vietnamese,10,SAD,DIS,DIS,ANG
italian32.mp3,italian,32,SAD,DIS,DIS,DIS
spanish118.mp3,spanish,118,SAD,DIS,DIS,ANG
english501.mp3,english,501,SAD,DIS,DIS,ANG
english295.mp3,english,295,SAD,DIS,DIS,DIS
hindi12.mp3,hindi,12,SAD,DIS,DIS,ANG
urdu9.mp3,urdu,9,SAD,DIS,DIS,ANG
spanish55.mp3,spanish,55,SAD,DIS,DIS,ANG
nepali1.mp3,nepali,1,SAD,DIS,DIS,ANG
cantonese6.mp3,cantonese,6,FEA,DIS,DIS,ANG
mandarin5.mp3,mandarin,5,FEA,DIS,DIS,ANG
tagalog16.mp3,tagalog,16,FEA,DIS,DIS,ANG
telugu2.mp3,telugu,2,SAD,DIS,DIS,ANG
ewe1.mp3,ewe,1,FEA,DIS,DIS,ANG
spanish146.mp3,spanish,146,FEA,DIS,DIS,DIS
uzbek3.mp3,uzbek,3,SAD,DIS,DIS,ANG
english391.mp3,english,391,SAD,DIS,DIS,ANG
arabic76.mp3,arabic,76,SAD,DIS,DIS,ANG
ukrainian6.mp3,ukrainian,6,SAD,DIS,DIS,DIS
