path,id,phrase,emotion
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_haze_sad.wav,OAF,haze,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_raid_happy.wav,OAF,raid,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sail_fear.wav,YAF,sail,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wire_sad.wav,OAF,wire,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sub_neutral.wav,YAF,sub,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_boat_angry.wav,OAF,boat,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hash_disgust.wav,YAF,hash,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tip_disgust.wav,OAF,tip,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_check_neutral.wav,OAF,check,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_puff_fear.wav,OAF,puff,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_nag_angry.wav,OAF,nag,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hate_sad.wav,YAF,hate,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_choice_neutral.wav,OAF,choice,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_when_disgust.wav,YAF,when,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hush_disgust.wav,YAF,hush,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_king_angry.wav,OAF,king,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_goose_neutral.wav,OAF,goose,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_turn_sad.wav,OAF,turn,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dime_angry.wav,OAF,dime,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_cause_angry.wav,OAF,cause,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_vote_neutral.wav,YAF,vote,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_choice_fear.wav,YAF,choice,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mob_sad.wav,OAF,mob,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_red_angry.wav,OAF,red,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bite_fear.wav,YAF,bite,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_witch_sad.wav,YAF,witch,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_take_disgust.wav,OAF,take,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_keen_sad.wav,YAF,keen,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_mess_fear.wav,YAF,mess,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tip_fear.wav,OAF,tip,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_make_disgust.wav,OAF,make,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wash_sad.wav,OAF,wash,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_soap_neutral.wav,YAF,soap,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_chain_angry.wav,OAF,chain,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_king_happy.wav,YAF,king,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_burn_fear.wav,OAF,burn,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_neat_fear.wav,YAF,neat,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dead_fear.wav,OAF,dead,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_soup_neutral.wav,OAF,soup,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_yes_neutral.wav,OAF,yes,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mood_sad.wav,OAF,mood,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_base_disgust.wav,YAF,base,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_nice_angry.wav,YAF,nice,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_long_disgust.wav,YAF,long,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_page_happy.wav,OAF,page,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pad_angry.wav,YAF,pad,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_perch_sad.wav,OAF,perch,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bone_angry.wav,YAF,bone,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_match_sad.wav,OAF,match,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_ripe_disgust.wav,YAF,ripe,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_yes_fear.wav,YAF,yes,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_death_angry.wav,YAF,death,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_burn_happy.wav,YAF,burn,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_keg_disgust.wav,YAF,keg,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_home_angry.wav,OAF,home,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_kite_neutral.wav,YAF,kite,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_thought_happy.wav,YAF,thought,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bone_sad.wav,YAF,bone,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hall_sad.wav,YAF,hall,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_cool_neutral.wav,OAF,cool,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tough_sad.wav,OAF,tough,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_kill_fear.wav,OAF,kill,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_door_happy.wav,YAF,door,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_cause_fear.wav,OAF,cause,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pass_disgust.wav,YAF,pass,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pike_sad.wav,YAF,pike,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_young_happy.wav,OAF,young,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_jug_fear.wav,OAF,jug,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_home_neutral.wav,YAF,home,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_soup_happy.wav,YAF,soup,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pike_angry.wav,YAF,pike,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lid_fear.wav,OAF,lid,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_shack_sad.wav,YAF,shack,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mode_happy.wav,OAF,mode,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pain_neutral.wav,YAF,pain,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_rot_sad.wav,OAF,rot,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fit_neutral.wav,OAF,fit,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_south_fear.wav,OAF,south,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_wash_fear.wav,YAF,wash,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_bath_fear.wav,OAF,bath,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chain_neutral.wav,YAF,chain,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_numb_happy.wav,YAF,numb,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lot_happy.wav,OAF,lot,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lose_neutral.wav,OAF,lose,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_far_neutral.wav,YAF,far,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_five_happy.wav,OAF,five,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_calm_happy.wav,YAF,calm,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pad_angry.wav,OAF,pad,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_bone_fear.wav,OAF,bone,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_live_angry.wav,OAF,live,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_young_sad.wav,YAF,young,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_have_sad.wav,YAF,have,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_time_fear.wav,YAF,time,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_which_happy.wav,OAF,which,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_match_happy.wav,OAF,match,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_seize_happy.wav,YAF,seize,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_loaf_fear.wav,YAF,loaf,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_five_disgust.wav,OAF,five,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_neat_neutral.wav,OAF,neat,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_ripe_sad.wav,OAF,ripe,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dab_fear.wav,YAF,dab,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_live_neutral.wav,OAF,live,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_long_angry.wav,YAF,long,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mouse_disgust.wav,OAF,mouse,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bean_fear.wav,YAF,bean,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_jar_sad.wav,OAF,jar,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_yearn_disgust.wav,YAF,yearn,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_team_neutral.wav,OAF,team,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_wife_angry.wav,YAF,wife,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_fail_fear.wav,YAF,fail,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_void_angry.wav,YAF,void,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pad_neutral.wav,YAF,pad,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dip_sad.wav,OAF,dip,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_merge_fear.wav,YAF,merge,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_calm_happy.wav,OAF,calm,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_should_neutral.wav,OAF,should,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_phone_angry.wav,OAF,phone,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mop_disgust.wav,OAF,mop,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_make_happy.wav,YAF,make,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_ripe_fear.wav,YAF,ripe,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_sub_angry.wav,OAF,sub,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_neat_fear.wav,OAF,neat,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pearl_disgust.wav,OAF,pearl,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_chair_sad.wav,OAF,chair,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_learn_happy.wav,YAF,learn,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_soap_sad.wav,YAF,soap,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_shawl_neutral.wav,YAF,shawl,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_thought_fear.wav,OAF,thought,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_nag_fear.wav,OAF,nag,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pass_happy.wav,YAF,pass,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_limb_neutral.wav,OAF,limb,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hall_disgust.wav,YAF,hall,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_rough_happy.wav,OAF,rough,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_live_happy.wav,OAF,live,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_ripe_happy.wav,OAF,ripe,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dog_neutral.wav,OAF,dog,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_food_neutral.wav,YAF,food,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_keen_happy.wav,YAF,keen,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lose_fear.wav,OAF,lose,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_love_sad.wav,OAF,love,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_rough_sad.wav,OAF,rough,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chain_fear.wav,YAF,chain,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fall_neutral.wav,OAF,fall,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_tough_neutral.wav,YAF,tough,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_ring_angry.wav,OAF,ring,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fat_disgust.wav,OAF,fat,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_week_neutral.wav,OAF,week,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_walk_sad.wav,YAF,walk,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_life_fear.wav,YAF,life,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_fit_disgust.wav,YAF,fit,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_rag_angry.wav,OAF,rag,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pain_sad.wav,OAF,pain,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_mode_sad.wav,YAF,mode,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_rag_fear.wav,YAF,rag,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sheep_happy.wav,YAF,sheep,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_take_happy.wav,YAF,take,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hole_neutral.wav,YAF,hole,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pad_happy.wav,OAF,pad,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bought_neutral.wav,YAF,bought,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_page_disgust.wav,OAF,page,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_keep_disgust.wav,YAF,keep,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_mob_angry.wav,YAF,mob,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_void_disgust.wav,OAF,void,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_keen_happy.wav,OAF,keen,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_seize_angry.wav,YAF,seize,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lid_neutral.wav,YAF,lid,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_love_happy.wav,OAF,love,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sub_disgust.wav,YAF,sub,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lean_angry.wav,YAF,lean,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_name_happy.wav,OAF,name,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_thin_angry.wav,OAF,thin,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chief_neutral.wav,YAF,chief,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_met_sad.wav,YAF,met,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_page_fear.wav,YAF,page,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_fat_disgust.wav,YAF,fat,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_thumb_neutral.wav,OAF,thumb,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_thin_disgust.wav,YAF,thin,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_judge_fear.wav,YAF,judge,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dead_fear.wav,YAF,dead,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_make_sad.wav,OAF,make,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_met_neutral.wav,YAF,met,NEU
